Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_lower_leg_link,"-0,0615053146451188","-0,008054147483954","0,0644104745433465",0,0,0,"0,123883133217275","0,000128415612995708","-1,74091858241873E-06","4,6598543660348E-07","8,22570949980407E-05","8,28711938867076E-07","0,00015823792993869",0,0,0,0,0,0,package://ramp_meshes_1/meshes/right_lower_leg_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://ramp_meshes_1/meshes/right_lower_leg_link.STL,,lower_leg-1,right_foot_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_upper_leg_link,"-0,0562828876412978","0,00500191107012748","0,141489644097149",0,0,0,"0,101399403255084","0,000114286085966719","-1,47157629045173E-06","-4,99355146038688E-05","0,000215178375299073","-4,87911538527944E-07","0,000109741610710701",0,0,0,0,0,0,package://ramp_meshes_1/meshes/right_upper_leg_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://ramp_meshes_1/meshes/right_upper_leg_link.STL,,right_upper_leg-1,right_knee_cs,right_knee_axis,right_knee_joint,revolute,"-0,069","-0,035","0,23789","0,17453",0,0,right_lower_leg_link,1,0,0,0,0,0,"1,57",,,,,,,,
right_hip_link,"-0,1","-1,11022302462516E-16","-7,63278329429795E-17",0,0,0,"0,00565486677646163","1,15924768917463E-07","-2,08628598142635E-20","-1,42085772761506E-20","1,89075183059975E-05","9,73135805409247E-38","1,89075183059975E-05",0,0,0,0,0,0,package://ramp_meshes_1/meshes/right_hip_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://ramp_meshes_1/meshes/right_hip_link.STL,,hip_connector-2,right_hip_cs,hip_axis,right_hip_joint,revolute,"0,0052304",0,"0,188","-0,17453",0,0,right_upper_leg_link,-1,0,0,0,0,0,0,,,,,,,,
left_hip_link,"-0,0383599176983876","0,0377734198436392","-0,0275215999400935",0,0,0,"0,101399353812015","0,000112959153864931","-4,46338507586178E-05","2,40701570964538E-05","0,000136800112572608","4,49100418656083E-05","0,000189446793501919",0,0,0,0,0,0,package://ramp_meshes_1/meshes/left_hip_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://ramp_meshes_1/meshes/left_hip_link.STL,,left_upper_leg-1,left_hip_cs,hip_axis,left_hip_joint,revolute,"-0,1",0,0,0,0,0,right_hip_link,-1,0,0,0,0,0,0,,,,,,,,
left_lower_leg_link,"-0,0895053146451189","-0,136765391576967","-0,11007592605015",0,0,0,"0,123883133217276","0,000128415612995708","-4,6690406531709E-07","1,74067243659666E-06","0,000139960406795007","3,24863106602432E-05","0,000100534618141724",0,0,0,0,0,0,package://ramp_meshes_1/meshes/left_lower_leg_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://ramp_meshes_1/meshes/left_lower_leg_link.STL,,lower_leg-2,left_knee_cs,left_knee_axis,left_knee_joint,revolute,"0,014226","0,16281","-0,094","1,0472",0,0,left_hip_link,1,0,0,0,0,0,"1,57",,,,,,,,
