Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_foot_link,"-0,033016","-0,020113","0,1804",0,0,0,"0,26156","0,00027102","3,9882E-08","-9,656E-07","0,00019908","5,8183E-07","0,00021774",0,0,0,0,0,0,package://walker_design_3/meshes/left_foot_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://walker_design_3/meshes/left_foot_link.STL,,Abroll_10.1_groß-1;Abroll_10.1_klein-1;Fußplatte-1;Fuß_aufnahme-2;Unterschenkel-2;Knie_gelenk_unten_4-2;Knie_gelenk_oben_2-1;oBERSCHENKEL-1;Hüfte_gelenk_2-2,left_foot_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_link,"0,03","1,3201E-13","-3,5527E-15",0,0,0,"0,022224","4,5558E-07","1,5657E-20","-1,0489E-19","1,8747E-05","4,7646E-21","1,8747E-05",0,0,0,0,0,0,package://walker_design_3/meshes/left_hip_link.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://walker_design_3/meshes/left_hip_link.STL,,hüfte_abstandshülse-1,left_hip_cs,hip_axis,left_hip_joint,revolute,"-0,018882","-0,035898","0,45353",0,0,0,left_foot_link,1,0,0,0,0,0,0,,,,,,,,
right_foot_link,"0,014142","0,015991","-0,27313",0,0,0,"0,26156","0,00027102","3,9326E-08","9,6003E-07","0,00019908","-3,1864E-07","0,00021774",0,0,0,0,0,0,package://walker_design_3/meshes/right_foot_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://walker_design_3/meshes/right_foot_link.STL,,Fußplatte-2;Abroll_10.1_klein-2;Abroll_10.1_groß-2;Unterschenkel-1;Knie_gelenk_unten_4-1;Knie_gelenk_oben_2-2;Fuß_aufnahme-1;oBERSCHENKEL-2;Hüfte_gelenk_2-1,right_hip_cs,hip_axis,right_hip_joint,revolute,"0,06",0,0,"-0,48379",0,0,left_hip_link,1,0,0,0,0,0,0,,,,,,,,
