Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_lower_leg_link,"-0,061505","-0,0080541","0,06441",0,0,0,"0,12388","0,00012842","-1,7409E-06","4,6599E-07","8,2257E-05","8,2871E-07","0,00015824",0,0,0,0,0,0,package://walker_design_2/meshes/right_lower_leg_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://walker_design_2/meshes/right_lower_leg_link.STL,,lower_leg-1,right_foot_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_upper_leg_link,"-0,056283","0,0050019","0,14149",0,0,0,"0,1014","0,00011429","-1,4716E-06","-4,9936E-05","0,00021518","-4,8791E-07","0,00010974",0,0,0,0,0,0,package://walker_design_2/meshes/right_upper_leg_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://walker_design_2/meshes/right_upper_leg_link.STL,,right_upper_leg-1,right_knee_cs,right_knee_axis,right_knee_joint,revolute,"-0,069","-0,035","0,23789","0,17453",0,0,right_lower_leg_link,1,0,0,0,0,0,"1,57",,,,,,,,
right_hip_link,"-0,05","-5,5511E-17","-3,4694E-17",0,0,0,"0,0028274","5,7962E-08","-2,5837E-21","-1,7596E-21","2,3852E-06","4,702E-38","2,3852E-06",0,0,0,0,0,0,package://walker_design_2/meshes/right_hip_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://walker_design_2/meshes/right_hip_link.STL,,hip_connector-2,right_hip_cs,hip_axis,right_hip_joint,revolute,"0,0052304",0,"0,188","-0,17453",0,0,right_upper_leg_link,-1,0,0,0,0,0,0,,,,,,,,
left_hip_link,"0,06164","0,037773","-0,027522",0,0,0,"0,1014","0,00011296","-4,4634E-05","2,407E-05","0,0001368","4,491E-05","0,00018945",0,0,0,0,0,0,package://walker_design_2/meshes/left_hip_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://walker_design_2/meshes/left_hip_link.STL,,left_upper_leg-1,left_hip_cs,hip_axis,left_hip_joint,revolute,"-0,1",0,0,0,0,0,right_hip_link,-1,0,0,0,0,0,0,,,,,,,,
left_lower_leg_link,"0,010495","-0,13677","-0,11008",0,0,0,"0,12388","0,00012842","-4,669E-07","1,7407E-06","0,00013996","3,2486E-05","0,00010053",0,0,0,0,0,0,package://walker_design_2/meshes/left_lower_leg_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://walker_design_2/meshes/left_lower_leg_link.STL,,lower_leg-2,left_knee_cs,left_knee_axis,left_knee_joint,revolute,"0,014226","0,16281","-0,094","1,0472",0,0,left_hip_link,1,0,0,0,0,0,"1,57",,,,,,,,
