Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hip_link,"-1,3878E-17","5,5511E-17","0,00036588",0,0,0,"0,023249","5,1362E-07","2,7396E-21","-2,7818E-21","1,8805E-05","-1,6411E-21","1,8752E-05",0,0,0,0,0,0,package://walker_design_5/meshes/hip_link.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://walker_design_5/meshes/hip_link.STL,,hüfte_abstandshülse-1,hip_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_link,"-0,0053966","0,028086","-0,35902",0,0,0,"0,51157","0,00049543","4,1393E-08","3,0629E-05","0,00048163","5,26E-07","0,00083144",0,0,0,0,0,0,package://walker_design_5/meshes/left_leg_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://walker_design_5/meshes/left_leg_link.STL,,left_leg_link-1,left_leg_cs,hip_axis,left_hip_joint,revolute,"-0,05",0,"4,0123E-05",0,0,0,hip_link,1,0,0,100000,100,-2,2,,,,,,,,
right_leg_link,"0,0048563","0,028736","-0,35902",0,0,0,"0,51157","0,00049545","5,4691E-08","-3,0645E-05","0,00048164","-2,9571E-07","0,00083146",0,0,0,0,0,0,package://walker_design_5/meshes/right_leg_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://walker_design_5/meshes/right_leg_link.STL,,right_leg_link-1,right_leg_cs,hip_axis,right_hip_joint,revolute,"0,05",0,"4,0123E-05","-0,48379",0,0,hip_link,1,0,0,100000,100,-2,2,,,,,,,,
